Title,Price,Date
Lenovo Legion 7 (R9000K) RTX 3080 16 inch R9-5900HX 32GB Ram 1TB 2TB SSD 2.5k 165Hz,"150,000.00
",2022-10-12
Lenovo Legion 7 (R9000K) RTX 3080 16 inch R9-5900HX 32GB Ram 1TB 2TB SSD 2.5k 165Hz,"150,000.00
",2022-10-12
